UPC,Название,Исполнитель,Платформа,Вид использования,Период начала,Период окончания,Количество,Вознаграждение Лицензиара (Авторские),Вознаграждение Лицензиара (Смежные),Лейбл
GUT12980,11,SMOKEFULLBOY,vk,Аудиостриминг,,,1,0,"0,02",Ckeabrona Beats
GUT12980,11,SMOKEFULLBOY,Яндекс.Музыка,Аудиостриминг,,,1,0,0,Ckeabrona Beats
GUT12980,11,SMOKEFULLBOY,Яндекс.Музыка,Аудиостриминг,,,1,0,0,Ckeabrona Beats
GUT12980,11,SMOKEFULLBOY,Яндекс.Музыка,Аудиостриминг,,,1,0,0,Ckeabrona Beats
GUT12980,11,SMOKEFULLBOY,Яндекс.Музыка,Подписка,,,1,0,"0,02",Ckeabrona Beats
GUT12980,11,SMOKEFULLBOY,Яндекс.Музыка,Подписка,,,2,0,"0,06",Ckeabrona Beats
GUT12980,11,SMOKEFULLBOY,Яндекс.Музыка,Подписка,,,4,0,"0,1",Ckeabrona Beats
GUT12980,11,SMOKEFULLBOY,Яндекс.Музыка,Подписка,,,9,"0,06",0,Ckeabrona Beats
5063466403483,19,OTALOE,Apple Music,Подписка,,,1,0,"0,28",ICECREAMMUSIC
5063466403483,19,OTALOE,SoundCloud,Аудиостриминг,,,1,0,"0,08",ICECREAMMUSIC
5063466403483,19,OTALOE,vk,Аудиостриминг,,,1,0,"0,05",ICECREAMMUSIC
5063466403483,19,OTALOE,vk,Аудиостриминг,,,7,0,"0,15",ICECREAMMUSIC
5063466403483,19,OTALOE,vk,Аудиостриминг,,,7,0,"0,15",ICECREAMMUSIC
5063466403483,19,OTALOE,vk,Аудиостриминг,,,4,0,"0,15",ICECREAMMUSIC
5063466403483,19,OTALOE,vk,Аудиостриминг,,,23,0,"0,47",ICECREAMMUSIC
5063466403483,19,OTALOE,vk,Подписка,,,6,0,"1,09",ICECREAMMUSIC
5063466403483,19,OTALOE,vk,Подписка,,,19,0,"3,44",ICECREAMMUSIC
5063466403483,19,OTALOE,vk,Аудиостриминг,,,8,"0,03",0,ICECREAMMUSIC
5063466403483,19,OTALOE,vk,Аудиостриминг,,,8,"0,03",0,ICECREAMMUSIC
5063466403483,19,OTALOE,vk,Аудиостриминг,,,26,"0,08",0,ICECREAMMUSIC
5063466403483,19,OTALOE,vk,Тексты песен,,,3,"0,09",0,ICECREAMMUSIC
5063466403483,19,OTALOE,vk,Подписка,,,6,"0,27",0,ICECREAMMUSIC
5063466403483,19,OTALOE,vk,Подписка,,,22,"0,85",0,ICECREAMMUSIC
5063466403483,19,OTALOE,Яндекс.Музыка,Аудиостриминг,,,1,0,0,ICECREAMMUSIC
5063466403483,19,OTALOE,Яндекс.Музыка,Аудиостриминг,,,1,0,"0,01",ICECREAMMUSIC
5063466403483,19,OTALOE,Яндекс.Музыка,Подписка,,,1,0,"0,02",ICECREAMMUSIC
5063466403483,19,OTALOE,Яндекс.Музыка,Аудиостриминг,,,4,0,"0,02",ICECREAMMUSIC
5063466403483,19,OTALOE,Яндекс.Музыка,Аудиостриминг,,,9,0,"0,06",ICECREAMMUSIC
5063466403483,19,OTALOE,Яндекс.Музыка,Подписка,,,15,0,"0,56",ICECREAMMUSIC
5063466403483,19,OTALOE,Яндекс.Музыка,Подписка,,,34,0,"1,32",ICECREAMMUSIC
5063466403483,19,OTALOE,Яндекс.Музыка,Подписка,,,12,"0,07",0,ICECREAMMUSIC
GUT200271,2022,"TigerGid, FLESH",Spotify,Подписка,,,8,"0,1",0,ICECREAMMUSIC
GUT200271,2022,"TigerGid, FLESH",Spotify,Подписка,,,11,"0,13",0,ICECREAMMUSIC
GUT200271,2022,"TigerGid, FLESH",TikTok,Видео,,,2,0,"0,04",ICECREAMMUSIC
GUT200271,2022,"TigerGid, FLESH",vk,Аудиостриминг,,,1,0,"0,03",ICECREAMMUSIC
GUT200271,2022,"TigerGid, FLESH",vk,Аудиостриминг,,,1,0,"0,03",ICECREAMMUSIC
GUT200271,2022,"TigerGid, FLESH",vk,Аудиостриминг,,,1,0,"0,03",ICECREAMMUSIC
GUT200271,2022,"TigerGid, FLESH",vk,Аудиостриминг,,,14,0,"0,29",ICECREAMMUSIC
GUT200271,2022,"TigerGid, FLESH",vk,Аудиостриминг,,,16,0,"0,32",ICECREAMMUSIC
GUT200271,2022,"TigerGid, FLESH",vk,Аудиостриминг,,,24,0,"0,51",ICECREAMMUSIC
GUT200271,2022,"TigerGid, FLESH",vk,Подписка,,,4,0,"0,61",ICECREAMMUSIC
GUT200271,2022,"TigerGid, FLESH",vk,Пробная подписка,,,1,0,"0,62",ICECREAMMUSIC
GUT200271,2022,"TigerGid, FLESH",vk,Подписка,,,5,0,"0,62",ICECREAMMUSIC
GUT200271,2022,"TigerGid, FLESH",vk,Подписка,,,4,0,"0,78",ICECREAMMUSIC
GUT200271,2022,"TigerGid, FLESH",vk,Подписка,,,2,"0,04",0,ICECREAMMUSIC
GUT200271,2022,"TigerGid, FLESH",vk,Аудиостриминг,,,16,"0,06",0,ICECREAMMUSIC
GUT200271,2022,"TigerGid, FLESH",vk,Аудиостриминг,,,18,"0,06",0,ICECREAMMUSIC
GUT200271,2022,"TigerGid, FLESH",vk,Аудиостриминг,,,28,"0,1",0,ICECREAMMUSIC
GUT200271,2022,"TigerGid, FLESH",vk,Подписка,,,4,"0,15",0,ICECREAMMUSIC
GUT200271,2022,"TigerGid, FLESH",vk,Подписка,,,5,"0,15",0,ICECREAMMUSIC
GUT200271,2022,"TigerGid, FLESH",vk,Пробная подписка,,,1,"0,15",0,ICECREAMMUSIC
GUT200271,2022,"TigerGid, FLESH",vk,Подписка,,,4,"0,19",0,ICECREAMMUSIC
GUT200271,2022,"TigerGid, FLESH",vk,Тексты песен,,,8,"0,27",0,ICECREAMMUSIC
GUT200271,2022,"TigerGid, FLESH",YouTube Music,Подписка,,,7,0,"0,37",ICECREAMMUSIC
GUT200271,2022,"TigerGid, FLESH",YouTube Music,Подписка,,,5,0,"0,49",ICECREAMMUSIC
GUT200271,2022,"TigerGid, FLESH",YouTube Music,Подписка,,,18,0,"3,1",ICECREAMMUSIC
GUT200271,2022,"TigerGid, FLESH",YouTube Premium,Подписка,,,2,0,"0,14",ICECREAMMUSIC
GUT200271,2022,"TigerGid, FLESH",YouTube Premium,Подписка,,,7,0,"1,18",ICECREAMMUSIC
GUT200271,2022,"TigerGid, FLESH",Звук,Подписка,,,4,"0,1",0,ICECREAMMUSIC
GUT200271,2022,"TigerGid, FLESH",КИОН Музыка,Подписка,,,3,0,"0,83",ICECREAMMUSIC
GUT200271,2022,"TigerGid, FLESH",КИОН Музыка,Подписка,,,4,"0,35",0,ICECREAMMUSIC
GUT200271,2022,"TigerGid, FLESH",Яндекс.Музыка,Аудиостриминг,,,4,0,"0,02",ICECREAMMUSIC
GUT200271,2022,"TigerGid, FLESH",Яндекс.Музыка,Аудиостриминг,,,7,0,"0,04",ICECREAMMUSIC
GUT200271,2022,"TigerGid, FLESH",Яндекс.Музыка,Аудиостриминг,,,7,0,"0,05",ICECREAMMUSIC
GUT200271,2022,"TigerGid, FLESH",Яндекс.Музыка,Подписка,,,15,0,"0,56",ICECREAMMUSIC
GUT200271,2022,"TigerGid, FLESH",Яндекс.Музыка,Подписка,,,26,0,"0,95",ICECREAMMUSIC
GUT200271,2022,"TigerGid, FLESH",Яндекс.Музыка,Подписка,,,28,0,"1,07",ICECREAMMUSIC
GUT200271,2022,"TigerGid, FLESH",Яндекс.Музыка,Подписка,,,84,"0,49",0,ICECREAMMUSIC
5063316585918,28.04.23,STANN,vk,Аудиостриминг,,,1,0,"0,01",Ckeabrona Beats
5063316585918,28.04.23,STANN,vk,Аудиостриминг,,,1,0,"0,01",Ckeabrona Beats
5063316585918,28.04.23,STANN,vk,Аудиостриминг,,,6,0,"0,1",Ckeabrona Beats
5063316585918,28.04.23,STANN,vk,Подписка,,,1,0,"0,13",Ckeabrona Beats
5063316585918,28.04.23,STANN,vk,Аудиостриминг,,,9,0,"0,17",Ckeabrona Beats
5063316585918,28.04.23,STANN,vk,Аудиостриминг,,,11,0,"0,21",Ckeabrona Beats
5063316585918,28.04.23,STANN,vk,Подписка,,,2,0,"0,31",Ckeabrona Beats
5063316585918,28.04.23,STANN,vk,Аудиостриминг,,,6,"0,02",0,Ckeabrona Beats
5063316585918,28.04.23,STANN,vk,Аудиостриминг,,,10,"0,03",0,Ckeabrona Beats
5063316585918,28.04.23,STANN,vk,Подписка,,,1,"0,03",0,Ckeabrona Beats
5063316585918,28.04.23,STANN,vk,Аудиостриминг,,,12,"0,04",0,Ckeabrona Beats
5063316585918,28.04.23,STANN,vk,Подписка,,,2,"0,08",0,Ckeabrona Beats
5063316585918,28.04.23,STANN,Яндекс.Музыка,Аудиостриминг,,,1,0,0,Ckeabrona Beats
5063316585918,28.04.23,STANN,Яндекс.Музыка,Подписка,,,1,0,"0,02",Ckeabrona Beats
GUT200018,48,Reiko,vk,Аудиостриминг,,,1,0,"0,01",ICECREAMMUSIC
GUT200018,48,Reiko,vk,Аудиостриминг,,,1,0,"0,02",ICECREAMMUSIC
GUT200018,48,Reiko,vk,Аудиостриминг,,,2,0,"0,03",ICECREAMMUSIC
GUT200018,48,Reiko,vk,Аудиостриминг,,,1,0,"0,04",ICECREAMMUSIC
GUT200018,48,Reiko,vk,Аудиостриминг,,,3,0,"0,05",ICECREAMMUSIC
GUT200018,48,Reiko,vk,Аудиостриминг,,,3,0,"0,05",ICECREAMMUSIC
GUT200018,48,Reiko,vk,Подписка,,,1,0,"0,15",ICECREAMMUSIC
GUT200018,48,Reiko,vk,Подписка,,,3,0,"0,38",ICECREAMMUSIC
GUT200018,48,Reiko,vk,Подписка,,,5,0,"0,93",ICECREAMMUSIC
GUT200018,48,Reiko,vk,Аудиостриминг,,,3,"0,01",0,ICECREAMMUSIC
GUT200018,48,Reiko,vk,Аудиостриминг,,,3,"0,01",0,ICECREAMMUSIC
GUT200018,48,Reiko,vk,Аудиостриминг,,,2,"0,01",0,ICECREAMMUSIC
GUT200018,48,Reiko,vk,Подписка,,,1,"0,04",0,ICECREAMMUSIC
GUT200018,48,Reiko,vk,Подписка,,,3,"0,1",0,ICECREAMMUSIC
GUT200018,48,Reiko,vk,Подписка,,,5,"0,23",0,ICECREAMMUSIC
GUT200503,5:00,AVEEVA,Яндекс.Музыка,Аудиостриминг,,,1,0,0,ICECREAMMUSIC
GUT200503,5:00,AVEEVA,Яндекс.Музыка,Подписка,,,2,0,"0,06",ICECREAMMUSIC
5063466678690,60 или 3?,Spirit Glam,MusixMatch,Тексты песен,,,2,"0,01",0,ICECREAMMUSIC
5063466678690,60 или 3?,Spirit Glam,vk,Аудиостриминг,,,1,0,"0,01",ICECREAMMUSIC
5063466678690,60 или 3?,Spirit Glam,vk,Аудиостриминг,,,1,0,"0,01",ICECREAMMUSIC
5063466678690,60 или 3?,Spirit Glam,vk,Аудиостриминг,,,1,0,"0,01",ICECREAMMUSIC
5063466678690,60 или 3?,Spirit Glam,vk,Аудиостриминг,,,5,0,"0,09",ICECREAMMUSIC
5063466678690,60 или 3?,Spirit Glam,vk,Аудиостриминг,,,5,0,"0,09",ICECREAMMUSIC
5063466678690,60 или 3?,Spirit Glam,vk,Аудиостриминг,,,5,0,"0,09",ICECREAMMUSIC
5063466678690,60 или 3?,Spirit Glam,vk,Подписка,,,3,0,"0,18",ICECREAMMUSIC
5063466678690,60 или 3?,Spirit Glam,vk,Подписка,,,2,0,"0,23",ICECREAMMUSIC
5063466678690,60 или 3?,Spirit Glam,vk,Подписка,,,4,0,"0,27",ICECREAMMUSIC
5063466678690,60 или 3?,Spirit Glam,vk,Аудиостриминг,,,5,"0,02",0,ICECREAMMUSIC
5063466678690,60 или 3?,Spirit Glam,vk,Аудиостриминг,,,5,"0,02",0,ICECREAMMUSIC
5063466678690,60 или 3?,Spirit Glam,vk,Аудиостриминг,,,5,"0,02",0,ICECREAMMUSIC
5063466678690,60 или 3?,Spirit Glam,vk,Подписка,,,3,"0,05",0,ICECREAMMUSIC
5063466678690,60 или 3?,Spirit Glam,vk,Подписка,,,2,"0,06",0,ICECREAMMUSIC
5063466678690,60 или 3?,Spirit Glam,vk,Подписка,,,4,"0,06",0,ICECREAMMUSIC
5063466678690,60 или 3?,Spirit Glam,Яндекс.Музыка,Аудиостриминг,,,1,0,0,ICECREAMMUSIC
5063466678690,60 или 3?,Spirit Glam,Яндекс.Музыка,Аудиостриминг,,,1,0,"0,01",ICECREAMMUSIC
5063466678690,60 или 3?,Spirit Glam,Яндекс.Музыка,Аудиостриминг,,,2,0,"0,01",ICECREAMMUSIC
5063466678690,60 или 3?,Spirit Glam,Яндекс.Музыка,Аудиостриминг,,,2,0,"0,01",ICECREAMMUSIC
5063466678690,60 или 3?,Spirit Glam,Яндекс.Музыка,Подписка,,,3,0,"0,08",ICECREAMMUSIC
5063466678690,60 или 3?,Spirit Glam,Яндекс.Музыка,Подписка,,,6,0,"0,2",ICECREAMMUSIC
5063466678690,60 или 3?,Spirit Glam,Яндекс.Музыка,Подписка,,,7,0,"0,23",ICECREAMMUSIC
5063466678690,60 или 3?,Spirit Glam,Яндекс.Музыка,Подписка,,,17,"0,1",0,ICECREAMMUSIC
5063316717104,730 Days <3,BARCETON,Apple Music,Подписка,,,2,"0,02",0,ICECREAMMUSIC
5063316717104,730 Days <3,BARCETON,vk,Аудиостриминг,,,1,0,0,ICECREAMMUSIC
5063316717104,730 Days <3,BARCETON,vk,Подписка,,,1,0,"0,07",ICECREAMMUSIC
5063316717104,730 Days <3,BARCETON,vk,Подписка,,,1,"0,02",0,ICECREAMMUSIC
5063316717104,730 Days <3,BARCETON,Иная дистрибуция,Видео,,,49,0,"0,02",ICECREAMMUSIC
5063316717104,730 Days <3,BARCETON,Иная дистрибуция,Видео,,,10,0,"0,04",ICECREAMMUSIC
5063316717104,730 Days <3,BARCETON,Иная дистрибуция,Видео,,,20,0,"0,05",ICECREAMMUSIC
5063316717104,730 Days <3,BARCETON,Яндекс.Музыка,Аудиостриминг,,,1,0,0,ICECREAMMUSIC
5063316717104,730 Days <3,BARCETON,Яндекс.Музыка,Аудиостриминг,,,1,0,0,ICECREAMMUSIC
5063316717104,730 Days <3,BARCETON,Яндекс.Музыка,Подписка,,,2,0,"0,06",ICECREAMMUSIC
5063316717104,730 Days <3,BARCETON,Яндекс.Музыка,Подписка,,,3,0,"0,08",ICECREAMMUSIC
5063316717104,730 Days <3,BARCETON,Яндекс.Музыка,Подписка,,,2,"0,01",0,ICECREAMMUSIC
GUT200291,Aerophobic,TigerGid,MusixMatch,Тексты песен,,,22,"0,01",0,ICECREAMMUSIC
GUT200291,Aerophobic,TigerGid,vk,Аудиостриминг,,,1,0,"0,01",ICECREAMMUSIC
GUT200291,Aerophobic,TigerGid,vk,Подписка,,,2,0,"0,3",ICECREAMMUSIC
GUT200291,Aerophobic,TigerGid,vk,Подписка,,,2,"0,08",0,ICECREAMMUSIC
GUT200291,Aerophobic,TigerGid,Иная дистрибуция,Видео,,,14,0,"0,01",ICECREAMMUSIC
GUT200291,Aerophobic,TigerGid,Иная дистрибуция,Видео,,,30,0,"0,01",ICECREAMMUSIC
GUT200291,Aerophobic,TigerGid,Яндекс.Музыка,Аудиостриминг,,,2,0,"0,01",ICECREAMMUSIC
GUT200291,Aerophobic,TigerGid,Яндекс.Музыка,Аудиостриминг,,,3,0,"0,01",ICECREAMMUSIC
GUT200291,Aerophobic,TigerGid,Яндекс.Музыка,Аудиостриминг,,,4,0,"0,02",ICECREAMMUSIC
GUT200291,Aerophobic,TigerGid,Яндекс.Музыка,Подписка,,,6,0,"0,2",ICECREAMMUSIC
GUT200291,Aerophobic,TigerGid,Яндекс.Музыка,Подписка,,,10,0,"0,34",ICECREAMMUSIC
GUT200291,Aerophobic,TigerGid,Яндекс.Музыка,Подписка,,,13,0,"0,49",ICECREAMMUSIC
GUT200291,Aerophobic,TigerGid,Яндекс.Музыка,Подписка,,,40,"0,23",0,ICECREAMMUSIC
5063833668132,AFFLICTION,"raf1k, Voryb",Яндекс.Музыка,Аудиостриминг,,,1,0,0,ICECREAMMUSIC
5063833668132,AFFLICTION,"raf1k, Voryb",Яндекс.Музыка,Аудиостриминг,,,1,0,0,ICECREAMMUSIC
5063833668132,AFFLICTION,"raf1k, Voryb",Яндекс.Музыка,Подписка,,,1,0,"0,02",ICECREAMMUSIC
5063833668132,AFFLICTION,"raf1k, Voryb",Яндекс.Музыка,Подписка,,,3,0,"0,07",ICECREAMMUSIC
5063833668132,AFFLICTION,"raf1k, Voryb",Яндекс.Музыка,Подписка,,,4,"0,02",0,ICECREAMMUSIC
5063833358514,AFTER PARTY,"ЧИКУРЯЛА, Ckeabrona",Яндекс.Музыка,Аудиостриминг,,,1,0,0,ICECREAMMUSIC
5063833358514,AFTER PARTY,"ЧИКУРЯЛА, Ckeabrona",Яндекс.Музыка,Аудиостриминг,,,1,0,0,ICECREAMMUSIC
5063833358514,AFTER PARTY,"ЧИКУРЯЛА, Ckeabrona",Яндекс.Музыка,Подписка,,,1,0,"0,02",ICECREAMMUSIC
5063833358514,AFTER PARTY,"ЧИКУРЯЛА, Ckeabrona",Яндекс.Музыка,Подписка,,,1,0,"0,02",ICECREAMMUSIC
5063833358514,AFTER PARTY,"ЧИКУРЯЛА, Ckeabrona",Яндекс.Музыка,Подписка,,,2,"0,01",0,ICECREAMMUSIC
5063316941530,Alone,"NEKKITJ, BuddyBeatz",vk,Аудиостриминг,,,3,0,"0,05",ICECREAMMUSIC
5063316941530,Alone,"NEKKITJ, BuddyBeatz",vk,Аудиостриминг,,,3,"0,01",0,ICECREAMMUSIC
5063316941530,Alone,"NEKKITJ, BuddyBeatz",Яндекс.Музыка,Подписка,,,1,"0,01",0,ICECREAMMUSIC
5063833830744,already,TURT,Netease Cloud Music,Аудиостриминг,,,1,0,"0,01",ICECREAMMUSIC
5063833830744,already,TURT,TIDAL,Подписка,,,1,0,"0,6",ICECREAMMUSIC
5063833830744,already,TURT,TIDAL,Подписка,,,2,0,"1,24",ICECREAMMUSIC
5063833830744,already,TURT,TIDAL,Подписка,,,13,0,"3,2",ICECREAMMUSIC
5063833830744,already,TURT,TIDAL,Подписка,,,30,0,"12,66",ICECREAMMUSIC
5063833830744,already,TURT,vk,Аудиостриминг,,,1,0,"0,01",ICECREAMMUSIC
5063833830744,already,TURT,vk,Аудиостриминг,,,1,0,"0,02",ICECREAMMUSIC
5063833830744,already,TURT,vk,Аудиостриминг,,,2,0,"0,03",ICECREAMMUSIC
5063833830744,already,TURT,vk,Аудиостриминг,,,3,0,"0,05",ICECREAMMUSIC
5063833830744,already,TURT,vk,Подписка,,,1,0,"0,15",ICECREAMMUSIC
5063833830744,already,TURT,vk,Аудиостриминг,,,3,"0,01",0,ICECREAMMUSIC
5063833830744,already,TURT,vk,Аудиостриминг,,,2,"0,01",0,ICECREAMMUSIC
5063833830744,already,TURT,vk,Подписка,,,1,"0,04",0,ICECREAMMUSIC
5063833830744,already,TURT,YouTube,Аудио,,,2,0,"0,31",ICECREAMMUSIC
5063833830744,already,TURT,Звук,Подписка,,,1,"0,03",0,ICECREAMMUSIC
5063833830744,already,TURT,Яндекс.Музыка,Аудиостриминг,,,1,0,0,ICECREAMMUSIC
5063833830744,already,TURT,Яндекс.Музыка,Аудиостриминг,,,1,0,0,ICECREAMMUSIC
5063833830744,already,TURT,Яндекс.Музыка,Подписка,,,1,0,"0,02",ICECREAMMUSIC
5063833830744,already,TURT,Яндекс.Музыка,Подписка,,,2,0,"0,06",ICECREAMMUSIC
GUT200250,Amore,Анна Галянт,vk,Аудиостриминг,,,1,0,"0,01",ICECREAMMUSIC
GUT200250,Amore,Анна Галянт,vk,Аудиостриминг,,,1,0,"0,02",ICECREAMMUSIC
GUT200250,Amore,Анна Галянт,vk,Аудиостриминг,,,3,0,"0,05",ICECREAMMUSIC
GUT200250,Amore,Анна Галянт,vk,Подписка,,,2,0,"0,25",ICECREAMMUSIC
GUT200250,Amore,Анна Галянт,vk,Аудиостриминг,,,3,"0,01",0,ICECREAMMUSIC
GUT200250,Amore,Анна Галянт,vk,Подписка,,,2,"0,06",0,ICECREAMMUSIC
GUT200250,Amore,Анна Галянт,vk клипы,Видео,,,36,0,"0,01",ICECREAMMUSIC
GUT200250,Amore,Анна Галянт,vk клипы,Видео,,,36,"0,01",0,ICECREAMMUSIC
GUT200250,Amore,Анна Галянт,Иная дистрибуция,Видео,,,102,0,"0,02",ICECREAMMUSIC
GUT200250,Amore,Анна Галянт,Иная дистрибуция,Видео,,,92,0,"0,03",ICECREAMMUSIC
GUT200250,Amore,Анна Галянт,Иная дистрибуция,Видео,,,134,0,"0,03",ICECREAMMUSIC
GUT200250,Amore,Анна Галянт,КИОН Музыка,Подписка,,,1,0,"0,07",ICECREAMMUSIC
GUT200250,Amore,Анна Галянт,КИОН Музыка,Подписка,,,1,"0,02",0,ICECREAMMUSIC
GUT200250,Amore,Анна Галянт,Яндекс.Музыка,Аудиостриминг,,,2,0,"0,01",ICECREAMMUSIC
GUT200250,Amore,Анна Галянт,Яндекс.Музыка,Аудиостриминг,,,3,0,"0,02",ICECREAMMUSIC
GUT200250,Amore,Анна Галянт,Яндекс.Музыка,Аудиостриминг,,,4,0,"0,02",ICECREAMMUSIC
GUT200250,Amore,Анна Галянт,Яндекс.Музыка,Подписка,,,8,0,"0,3",ICECREAMMUSIC
GUT200250,Amore,Анна Галянт,Яндекс.Музыка,Подписка,,,10,0,"0,37",ICECREAMMUSIC
GUT200250,Amore,Анна Галянт,Яндекс.Музыка,Подписка,,,14,0,"0,54",ICECREAMMUSIC
GUT200250,Amore,Анна Галянт,Яндекс.Музыка,Подписка,,,54,"0,31",0,ICECREAMMUSIC
5063945256708,Angry toy$,WhiteFluffy,vk,Аудиостриминг,,,1,0,"0,01",ICECREAMMUSIC
5063945256708,Angry toy$,WhiteFluffy,vk,Аудиостриминг,,,4,0,"0,06",ICECREAMMUSIC
5063945256708,Angry toy$,WhiteFluffy,vk,Подписка,,,1,0,"0,13",ICECREAMMUSIC
5063945256708,Angry toy$,WhiteFluffy,vk,Аудиостриминг,,,22,0,"0,45",ICECREAMMUSIC
5063945256708,Angry toy$,WhiteFluffy,vk,Пробная подписка,,,2,0,"0,7",ICECREAMMUSIC
5063945256708,Angry toy$,WhiteFluffy,vk,Пробная подписка,,,10,0,"4,58",ICECREAMMUSIC
5063945256708,Angry toy$,WhiteFluffy,vk,Аудиостриминг,,,4,"0,01",0,ICECREAMMUSIC
5063945256708,Angry toy$,WhiteFluffy,vk,Подписка,,,1,"0,03",0,ICECREAMMUSIC
5063945256708,Angry toy$,WhiteFluffy,vk,Аудиостриминг,,,25,"0,08",0,ICECREAMMUSIC
5063945256708,Angry toy$,WhiteFluffy,vk,Пробная подписка,,,2,"0,17",0,ICECREAMMUSIC
5063945256708,Angry toy$,WhiteFluffy,vk,Пробная подписка,,,11,"1,13",0,ICECREAMMUSIC
5063945256708,Angry toy$,WhiteFluffy,YouTube,Аудио,,,2,0,"0,02",ICECREAMMUSIC
5063945256708,Angry toy$,WhiteFluffy,Иная дистрибуция,Видео,,,46,0,"0,01",ICECREAMMUSIC
5063945256708,Angry toy$,WhiteFluffy,Яндекс.Музыка,Аудиостриминг,,,2,0,"0,01",ICECREAMMUSIC
5063945256708,Angry toy$,WhiteFluffy,Яндекс.Музыка,Аудиостриминг,,,6,0,"0,04",ICECREAMMUSIC
5063945256708,Angry toy$,WhiteFluffy,Яндекс.Музыка,Подписка,,,8,0,"0,3",ICECREAMMUSIC
5063945256708,Angry toy$,WhiteFluffy,Яндекс.Музыка,Подписка,,,23,0,"0,9",ICECREAMMUSIC
5063833469661,anomaly,"WhiteFluffy, s1eepy",vk,Аудиостриминг,,,1,0,"0,02",ICECREAMMUSIC
5063833469661,anomaly,"WhiteFluffy, s1eepy",vk,Аудиостриминг,,,1,0,"0,02",ICECREAMMUSIC
5063833469661,anomaly,"WhiteFluffy, s1eepy",vk,Аудиостриминг,,,2,0,"0,03",ICECREAMMUSIC
5063833469661,anomaly,"WhiteFluffy, s1eepy",vk,Аудиостриминг,,,2,"0,01",0,ICECREAMMUSIC
5063833469661,anomaly,"WhiteFluffy, s1eepy",Яндекс.Музыка,Аудиостриминг,,,1,0,"0,01",ICECREAMMUSIC
5063833469661,anomaly,"WhiteFluffy, s1eepy",Яндекс.Музыка,Аудиостриминг,,,2,0,"0,01",ICECREAMMUSIC
5063833469661,anomaly,"WhiteFluffy, s1eepy",Яндекс.Музыка,Аудиостриминг,,,2,0,"0,01",ICECREAMMUSIC
5063833469661,anomaly,"WhiteFluffy, s1eepy",Яндекс.Музыка,Подписка,,,4,0,"0,13",ICECREAMMUSIC
5063833469661,anomaly,"WhiteFluffy, s1eepy",Яндекс.Музыка,Подписка,,,5,0,"0,17",ICECREAMMUSIC
5063833469661,anomaly,"WhiteFluffy, s1eepy",Яндекс.Музыка,Подписка,,,7,0,"0,26",ICECREAMMUSIC
5063833469661,anomaly,"WhiteFluffy, s1eepy",Яндекс.Музыка,Подписка,,,14,"0,08",0,ICECREAMMUSIC
5063635321013,Antey Community (feat. Nura Adoriof & Anni),"Ramigos feat. Nura Adoriof, Anni",QQMusic,Аудиостриминг,,,1,0,"0,01",ICECREAMMUSIC
5063635321013,Antey Community (feat. Nura Adoriof & Anni),"Ramigos feat. Nura Adoriof, Anni",QQMusic,Подписка,,,1,0,"0,03",ICECREAMMUSIC
5063635321013,Antey Community (feat. Nura Adoriof & Anni),"Ramigos feat. Nura Adoriof, Anni",QQMusic,Аудиостриминг,,,3,0,"0,04",ICECREAMMUSIC
5063635321013,Antey Community (feat. Nura Adoriof & Anni),"Ramigos feat. Nura Adoriof, Anni",QQMusic,Аудиостриминг,,,5,0,"0,06",ICECREAMMUSIC
5063635321013,Antey Community (feat. Nura Adoriof & Anni),"Ramigos feat. Nura Adoriof, Anni",vk,Аудиостриминг,,,2,0,"0,03",ICECREAMMUSIC
5063635321013,Antey Community (feat. Nura Adoriof & Anni),"Ramigos feat. Nura Adoriof, Anni",vk,Аудиостриминг,,,4,0,"0,07",ICECREAMMUSIC
5063635321013,Antey Community (feat. Nura Adoriof & Anni),"Ramigos feat. Nura Adoriof, Anni",vk,Аудиостриминг,,,2,"0,01",0,ICECREAMMUSIC
5063635321013,Antey Community (feat. Nura Adoriof & Anni),"Ramigos feat. Nura Adoriof, Anni",vk,Аудиостриминг,,,4,"0,01",0,ICECREAMMUSIC
5063635321013,Antey Community (feat. Nura Adoriof & Anni),"Ramigos feat. Nura Adoriof, Anni",Яндекс.Музыка,Аудиостриминг,,,1,0,0,ICECREAMMUSIC
5063635321013,Antey Community (feat. Nura Adoriof & Anni),"Ramigos feat. Nura Adoriof, Anni",Яндекс.Музыка,Подписка,,,1,0,"0,02",ICECREAMMUSIC
5063635321013,Antey Community (feat. Nura Adoriof & Anni),"Ramigos feat. Nura Adoriof, Anni",Яндекс.Музыка,Подписка,,,1,"0,01",0,ICECREAMMUSIC
5063316941530,Baby,"NEKKITJ, BuddyBeatz",Иная дистрибуция,Видео,,,30,0,"0,95",ICECREAMMUSIC
5063316941530,Baby,"NEKKITJ, BuddyBeatz",Яндекс.Музыка,Аудиостриминг,,,1,0,0,ICECREAMMUSIC
5063316941530,Baby,"NEKKITJ, BuddyBeatz",Яндекс.Музыка,Подписка,,,1,0,"0,02",ICECREAMMUSIC
5063316941530,Baby,"NEKKITJ, BuddyBeatz",Яндекс.Музыка,Подписка,,,1,"0,01",0,ICECREAMMUSIC
5063635301480,Back to Antarctica,Phil Mahart,TikTok,Видео,,,13,0,"0,33",ICECREAMMUSIC
5063635301480,Back to Antarctica,Phil Mahart,TikTok,Видео,,,16,0,"0,41",ICECREAMMUSIC
